id,edad,educacion,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds,cluster
151,Entre 35 y 54 años,Terciario COMPLETO,Mujer,González Catán,1,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-2,0,-2,1
152,Entre 25 y 34 años,Terciario COMPLETO,Hombre,Villa Luzuriaga,1,3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,0,1,1
153,Entre 25 y 34 años,Terciario COMPLETO,Hombre,Isidro Casanova,-1,-1,-3,-3,-3,-2,-1,-3,-3,-3,-3,-3,0,0,-3,1
154,Entre 35 y 54 años,Primaria INCOMPLETA,Hombre,González Catán,-3,2,-3,-3,-3,-3,-3,-3,-1,-3,-3,0,-1,-3,-3,1
155,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1
156,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,Villa Luzuriaga,-1,1,-1,-3,-3,-1,-3,-3,-3,-3,-3,-2,-2,-1,-1,1
157,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,La Tablada,-3,-3,-3,-1,1,-2,1,-3,-2,-2,-1,-3,-3,-3,-3,1
158,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,0,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,-1,1
159,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Villa Luzuriaga,-2,-2,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1
160,55 años o más,Universitario COMPLETO,Hombre,Lomas del Mirador,1,3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,1
161,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Lomas del Mirador,-1,1,-3,-3,-3,-3,-3,-3,0,0,-3,0,0,0,-3,1
162,Entre 16 y 24 años,Terciario COMPLETO,Mujer,González Catán,1,3,-2,-3,2,0,0,-3,0,0,-3,0,0,0,1,1
163,Entre 35 y 54 años,Terciario COMPLETO,Hombre,San Justo,-3,-3,-3,-2,1,1,0,-3,0,-3,1,0,-1,0,-1,2
164,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Laferrere,-1,1,1,-2,-1,-1,1,-3,0,0,-2,0,-1,0,-1,1
165,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1
166,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Ciudad Evita,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1
167,Entre 16 y 24 años,Primaria COMPLETA,Hombre,Isidro Casanova,-3,-3,-1,-1,1,-2,2,-3,-2,-1,1,-1,-3,-2,-3,2
168,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,1,2,-3,-3,-3,-3,-3,-3,-1,0,-3,0,-3,-1,-3,1
169,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,San Justo,-3,-3,-3,-1,2,2,2,-3,-3,-3,-2,-3,-3,0,-3,2
170,Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Isidro Casanova,1,3,1,-3,-3,-3,-3,-3,-3,-3,-3,2,-1,1,2,1
171,Entre 35 y 54 años,Terciario COMPLETO,Hombre,La Tablada,-3,-3,-3,1,3,-3,3,-3,-3,-3,2,2,-3,-3,-3,2
172,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,2,3,3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-3,-2,3,1
173,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Rafael Castillo,3,3,2,-3,-3,-2,-3,-3,-3,-2,-3,1,2,-2,-2,1
174,Entre 35 y 54 años,Terciario COMPLETO,Hombre,Villa Luzuriaga,1,3,2,-3,-3,-2,-3,-3,-3,-3,-3,2,-3,1,2,1
175,Entre 35 y 54 años,Terciario COMPLETO,Hombre,Villa Madero,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1
176,55 años o más,Universitario COMPLETO,Mujer,Villa Luzuriaga,3,3,3,-3,-3,-2,-3,-3,-3,-3,-3,-3,-1,1,3,1
177,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,González Catán,3,2,1,-3,-3,-3,-3,-3,-3,-3,-3,-2,-2,-3,2,1
178,Entre 16 y 24 años,Primaria COMPLETA,Mujer,Isidro Casanova,1,1,-3,-3,-3,-3,-3,-3,-3,-3,0,-1,-1,-1,0,1
179,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Isidro Casanova,-3,-3,-3,-1,2,2,2,-3,0,0,-1,0,0,0,-2,2
180,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Laferrere,1,3,1,-3,-3,-2,-3,-3,-3,-2,-3,-2,-3,-2,1,1
181,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Virrey del Pino,3,2,2,-3,-2,0,0,0,0,0,-3,0,0,0,1,1
182,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Laferrere,1,2,2,-3,-2,-2,-3,0,0,0,-3,0,-2,0,2,1
183,55 años o más,Universitario COMPLETO,Hombre,San Justo,-3,-3,-3,2,-1,1,2,0,3,2,2,2,2,-2,-3,2
184,Entre 25 y 34 años,Terciario COMPLETO,Mujer,Villa Celina,1,-1,-3,-3,-3,-1,-3,0,-1,0,-3,-1,-1,0,-1,1
185,Entre 25 y 34 años,Terciario COMPLETO,Hombre,Laferrere,-1,2,-1,-3,1,0,-3,0,0,0,-3,0,0,0,-1,1
186,Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Laferrere,-3,-3,-3,3,3,0,-3,0,0,0,2,2,0,-3,-3,2
187,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Ciudad Evita,3,3,2,-3,1,0,0,0,0,0,0,0,0,0,3,1
188,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Isidro Casanova,-2,1,-2,-3,-3,0,-2,0,0,0,-3,0,-1,0,-1,1
189,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,-1,-3,-1,1,1,2,-1,0,2,0,0,0,0,0,0,2
190,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,La Tablada,-2,-2,1,1,2,1,1,0,0,0,1,0,1,0,1,2
191,Entre 35 y 54 años,Universitario COMPLETO,Mujer,Lomas del Mirador,-3,-3,-3,2,2,1,1,0,1,1,1,3,-1,0,-3,2
192,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Lomas del Mirador,0,-3,-3,-3,-3,0,0,0,0,-1,-3,0,-2,0,-2,1
193,55 años o más,Terciario INCOMPLETO,Mujer,Ramos Mejía,-3,-3,-3,3,3,-2,2,0,3,0,3,-2,0,0,-3,2
194,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,-3,-3,1,1,2,0,0,0,0,0,-3,0,0,1,1,2
195,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,González Catán,3,2,-1,-3,-1,0,0,0,0,0,-2,0,0,0,2,1
196,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,La Tablada,2,3,1,-3,-3,1,-3,0,0,0,-3,0,0,0,1,1
197,Entre 25 y 34 años,Terciario COMPLETO,Hombre,Lomas del Mirador,2,2,-1,-3,-3,-2,-3,0,0,0,-3,0,0,0,1,1
198,Entre 16 y 24 años,Secundaria INCOMPLETA,Mujer,La Tablada,1,2,1,-3,-1,1,1,0,0,0,-3,0,0,0,-1,1
199,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,González Catán,-1,-1,-3,-3,-3,-3,-3,0,-3,0,-2,0,0,0,1,1
200,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Laferrere,-2,-3,-3,-1,1,0,1,0,0,0,3,0,0,0,-3,2
201,55 años o más,Posgrado y más,Mujer,Ramos Mejía,-3,-3,-3,-1,1,2,-3,0,2,1,-2,1,1,-1,-3,2
202,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Isidro Casanova,3,3,1,-3,-1,0,0,0,0,0,0,0,0,0,-1,1
203,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Villa Luzuriaga,-2,-1,-1,-2,-2,1,-1,0,0,0,-2,0,-1,0,-1,1
204,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Villa Celina,-3,-3,-3,-3,-2,0,3,0,0,0,2,0,0,0,-3,2
205,55 años o más,Posgrado y más,Mujer,Ramos Mejía,-3,-3,-3,-3,-2,2,1,0,1,3,1,2,-2,-2,-3,2
206,55 años o más,Terciario COMPLETO,Mujer,San Justo,-2,-3,-3,2,2,2,-3,0,2,0,1,0,0,0,-3,2
207,55 años o más,Universitario INCOMPLETO,Hombre,Villa Luzuriaga,1,3,1,-3,-3,-3,-3,0,-3,-1,-3,-3,0,0,1,1
208,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Laferrere,2,3,3,-3,-3,-1,-3,0,-2,0,-3,-3,-3,0,2,1
209,Entre 35 y 54 años,Primaria COMPLETA,Hombre,Laferrere,-3,-3,-3,-3,-3,-3,-1,0,-3,0,-2,0,-3,0,-1,1
210,55 años o más,Primaria COMPLETA,Hombre,Villa Madero,-3,-3,-3,1,-2,0,2,0,2,0,3,3,-2,0,-3,2
211,55 años o más,Secundaria INCOMPLETA,Hombre,Villa Celina,-1,-3,-1,2,2,2,-3,0,2,2,3,3,0,-1,-2,2
212,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Ramos Mejía,-2,-3,-3,-1,1,0,0,0,0,0,0,0,0,0,-2,2
213,Entre 16 y 24 años,Secundaria INCOMPLETA,Hombre,Villa Luzuriaga,-2,-3,-2,-1,1,-1,1,0,0,0,1,0,0,0,-1,2
214,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Villa Luzuriaga,-2,-2,-3,-1,2,2,-1,0,-3,-3,-3,-2,-2,-1,-3,2
215,Entre 16 y 24 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,-3,-3,-3,1,-1,-1,3,0,0,0,1,0,0,0,-2,2
216,55 años o más,Primaria COMPLETA,Hombre,Ramos Mejía,2,2,2,-3,-1,2,-2,0,1,-1,-3,0,-1,0,2,1
217,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,San Justo,-1,1,-3,-3,-2,0,-3,0,0,0,-3,0,0,0,-2,1
218,Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Villa Luzuriaga,3,3,0,0,0,0,3,0,0,0,3,0,0,0,2,2
219,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Laferrere,-1,-1,1,-1,-1,1,-3,0,0,0,-1,0,0,0,1,1
220,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,González Catán,2,-2,1,-3,2,2,-3,0,0,0,3,0,-1,0,-2,2
221,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Isidro Casanova,1,-2,0,-2,2,0,3,0,0,0,2,0,0,0,-3,2
222,Entre 16 y 24 años,Secundaria INCOMPLETA,Mujer,González Catán,-1,-3,-3,-3,-2,-2,-2,0,0,0,-3,-2,-2,0,-2,1
223,Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Rafael Castillo,-1,-2,-2,-3,1,0,2,0,0,0,0,-1,0,0,-1,2
224,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,González Catán,3,3,1,-3,-3,0,0,0,0,0,-1,0,0,0,1,1
225,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Villa Celina,-1,-1,-3,-3,-3,-3,-3,0,0,0,-3,0,0,0,-2,1
226,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Isidro Casanova,1,2,1,-3,-2,-2,-3,0,0,-1,-3,-3,-2,-3,1,1
227,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Virrey del Pino,-3,-3,-3,-3,1,0,3,0,1,0,-3,0,0,0,-1,2
228,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Laferrere,-3,-3,-3,-1,2,2,2,0,0,0,0,0,0,0,-3,2
229,Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Ciudad Evita,3,3,3,-3,-3,0,-3,0,0,-3,-3,0,0,0,1,1
230,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,San Justo,3,-3,2,-2,-1,0,0,0,0,0,-3,0,0,0,-1,1
231,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Virrey del Pino,2,2,1,-2,-2,1,-2,0,-2,1,-2,1,-2,1,-1,1
232,55 años o más,Secundaria INCOMPLETA,Mujer,La Tablada,1,1,1,1,2,2,1,0,1,2,3,0,2,0,2,2
233,Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Aldo Bonzi,1,2,1,-3,-3,1,-3,0,-3,-3,-3,0,0,0,1,1
234,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Ciudad Evita,-3,-3,-3,-3,1,0,1,0,0,0,3,0,1,0,1,2
235,Entre 16 y 24 años,Universitario INCOMPLETO,Hombre,Villa Luzuriaga,-1,1,-3,-3,-2,2,-2,0,-2,-1,-3,1,-2,0,-1,1
236,Entre 25 y 34 años,Posgrado y más,Hombre,Ramos Mejía,-1,3,-3,-3,-3,-1,-3,0,0,0,-3,-3,0,0,1,1
237,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Ciudad Evita,3,3,1,-3,1,0,-2,0,0,0,-3,0,0,0,1,1
238,Entre 35 y 54 años,Universitario COMPLETO,Mujer,San Justo,-3,-3,-3,1,2,1,-3,0,-2,-2,-1,-3,-2,0,-2,2
239,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Rafael Castillo,1,-3,-2,-3,1,0,-3,0,0,0,-3,0,0,0,-3,1
240,55 años o más,Secundaria INCOMPLETA,Mujer,Laferrere,-1,-3,-3,-1,1,1,1,0,-1,-1,-3,0,1,0,-2,2
241,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,2,3,-2,-3,-2,0,2,0,0,0,-2,0,-2,0,2,1
242,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Virrey del Pino,3,3,1,2,2,0,0,0,0,0,-1,0,1,0,1,1
243,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,González Catán,3,3,2,-3,-3,-3,-2,0,0,2,-3,0,-2,-1,1,1
244,Entre 35 y 54 años,Terciario COMPLETO,Mujer,La Tablada,-3,-3,-3,-2,2,2,-1,0,0,0,1,0,0,0,-2,2
245,55 años o más,Terciario COMPLETO,Hombre,Ciudad Evita,-3,-3,-3,3,3,3,3,0,3,3,2,3,1,0,-3,2
246,Entre 25 y 34 años,Terciario COMPLETO,Hombre,González Catán,-3,-3,-3,-2,-3,-2,3,0,0,0,2,0,0,0,-1,2
247,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,González Catán,1,2,1,-3,-2,0,-3,0,0,0,-3,-3,-1,0,-1,1
248,Entre 35 y 54 años,Primaria COMPLETA,Mujer,La Tablada,0,0,1,2,3,0,3,0,0,0,3,0,0,0,1,2
249,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Villa Madero,-3,-3,0,1,1,0,-3,0,0,0,-3,-3,0,0,-2,2
250,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,3,3,2,-3,-3,0,3,0,0,0,2,0,0,0,3,1
251,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Virrey del Pino,0,0,1,0,0,0,0,0,0,0,-3,0,0,0,-1,1
252,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,-2,-2,-2,-2,0,0,0,0,0,0,-3,0,0,0,-1,2
253,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Villa Luzuriaga,2,3,-1,-3,-2,2,-3,0,0,-3,-3,0,0,0,3,1
254,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Villa Luzuriaga,-1,-3,-1,1,1,0,0,0,0,0,0,0,0,0,-2,2
255,55 años o más,Universitario COMPLETO,Mujer,Ramos Mejía,-1,-3,-3,-2,-1,-1,-3,0,0,0,-3,0,0,0,-3,1
256,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,González Catán,-1,3,-1,-3,-3,-3,1,0,0,0,-3,-3,0,0,1,1
257,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,González Catán,-1,2,2,-2,-2,0,-2,0,0,-1,-2,1,1,1,3,1
258,55 años o más,Primaria COMPLETA,Mujer,Villa Madero,0,0,-1,1,3,3,2,0,0,0,0,0,0,0,-1,2
259,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Ciudad Evita,1,-2,-2,-2,2,2,-2,0,0,0,-2,0,0,-2,1,2
260,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Laferrere,1,1,-1,-2,-1,0,-1,0,-2,-2,-3,0,0,0,1,1
261,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Villa Luzuriaga,-3,-3,-3,-1,2,3,3,0,2,2,3,1,1,0,-3,2
262,55 años o más,Terciario COMPLETO,Mujer,Laferrere,2,3,1,-2,-2,-2,-2,0,1,0,-2,1,-2,-2,1,1
263,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Isidro Casanova,1,1,1,-3,-2,1,-3,0,1,0,-2,0,2,0,2,1
264,Entre 25 y 34 años,Terciario COMPLETO,Mujer,González Catán,-2,-2,-2,-2,-2,-1,-1,0,0,0,-1,0,0,0,1,1
265,Entre 16 y 24 años,Posgrado y más,Mujer,González Catán,-3,-3,-3,3,3,2,2,0,0,1,1,0,1,0,-2,2
266,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,1,1,-2,-2,1,1,1,0,0,0,1,0,0,0,-2,2
267,Entre 35 y 54 años,Universitario COMPLETO,Mujer,La Tablada,-2,-2,-3,1,2,2,1,0,1,2,-2,0,2,0,-2,2
268,55 años o más,Secundaria INCOMPLETA,Mujer,Virrey del Pino,-1,-1,-2,-3,1,2,0,0,0,0,-3,0,2,0,-2,2
269,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,-3,-3,-3,2,2,-1,1,0,0,0,-3,0,0,0,-1,2
270,Entre 25 y 34 años,Universitario COMPLETO,Hombre,Villa Celina,1,1,-1,-3,-2,-1,1,0,0,0,-3,0,0,0,1,1
271,Entre 16 y 24 años,Secundaria INCOMPLETA,Hombre,Ramos Mejía,-3,-3,-3,2,2,1,3,0,0,0,1,0,0,0,-2,2
272,Entre 16 y 24 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,3,3,3,-1,-2,-1,-3,0,-3,-1,-3,-3,-1,0,1,1
273,Entre 35 y 54 años,Terciario COMPLETO,Hombre,Laferrere,-3,3,3,-3,2,-1,-2,0,-1,-3,-3,0,-2,0,1,1
274,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,-1,-2,-3,-1,-1,0,1,0,0,0,-1,0,0,0,1,2
275,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,González Catán,-2,-2,-2,2,3,-1,2,0,0,0,1,-2,-2,0,1,2
276,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,La Tablada,-3,-3,-3,-2,-2,1,3,0,1,0,3,2,0,0,-3,2
277,55 años o más,Secundaria COMPLETA,Mujer,San Justo,3,3,2,-3,-3,0,-3,0,0,0,-3,-3,-3,0,2,1
278,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,San Justo,-1,-1,-1,-3,-3,0,0,0,0,0,-3,0,-1,0,-1,1
279,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Villa Madero,2,2,-1,-3,-3,-3,-3,0,-3,-3,-3,0,0,0,1,1
280,55 años o más,Universitario COMPLETO,Mujer,Virrey del Pino,2,2,2,-2,1,0,0,0,0,0,2,0,2,3,1,1
281,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Laferrere,-1,-3,-2,-2,-2,0,-2,0,1,0,-3,0,1,0,-1,1
282,55 años o más,Secundaria COMPLETA,Hombre,Ciudad Evita,1,3,2,-3,-2,2,-3,0,-2,-2,-3,-3,-1,0,2,1
283,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Ciudad Evita,-3,-3,-3,-1,1,0,1,0,0,0,-2,0,-2,0,-3,2
284,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,San Justo,3,3,-3,-3,-3,0,-3,0,0,0,-3,0,0,0,1,1
285,55 años o más,Secundaria COMPLETA,Mujer,San Justo,-3,-3,-3,-3,2,0,0,0,0,0,-2,0,0,0,2,2
286,55 años o más,Universitario INCOMPLETO,Hombre,La Tablada,-3,-3,-3,-2,3,1,-3,0,0,0,2,-1,0,0,1,2
287,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,San Justo,3,3,2,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,-3,-3,1
288,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Ramos Mejía,1,1,-1,-1,1,2,-3,0,0,1,1,2,1,1,-1,2
289,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Ciudad Evita,1,1,1,-2,0,0,-1,0,0,0,-1,0,0,0,-1,1
290,55 años o más,Secundaria COMPLETA,Mujer,Lomas del Mirador,-3,-3,-3,-3,1,2,-1,0,-1,0,-3,-1,0,0,-2,2
291,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Laferrere,2,3,-1,-3,-3,0,-3,0,0,0,-3,1,-3,0,1,1
292,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,San Justo,-2,-3,1,1,1,0,-2,0,0,0,-1,1,0,0,1,2
293,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Isidro Casanova,1,2,-1,-3,-3,1,-3,0,0,0,-3,2,0,-3,-3,1
294,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Villa Luzuriaga,-3,-3,-3,2,2,3,1,0,2,2,2,3,0,0,-3,2
295,Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ciudad Evita,-3,-3,-3,1,1,2,1,0,2,2,-1,-1,1,0,-2,2
296,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,-2,-1,-2,-2,1,1,2,0,-1,-1,1,0,-1,-2,-1,2
297,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Virrey del Pino,-1,-1,-2,-1,-2,0,1,0,0,-1,1,0,0,0,-1,2
298,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Rafael Castillo,-3,-3,-3,-3,-3,0,1,0,0,0,-3,-2,-2,0,-2,1
299,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,-1,-1,-3,-3,-3,1,-3,0,-2,0,-3,0,-2,0,-3,1
300,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Villa Madero,-1,-2,-3,-2,1,1,-1,0,0,0,-3,0,0,0,-2,2
301,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,20 de Junio,0,2,1,-3,1,-1,-1,0,1,-1,3,1,1,1,1,1
302,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ramos Mejía,-1,-1,1,-2,2,0,-1,0,0,0,0,0,0,0,1,2
