id,edad,educacion,sexo,localidad,af,cfk,fe,mm,hrl,fm,jm,lc,tf,afi,vc,fa,ms,fas,ds,cluster
303,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,1,-2,-3,-1,1,0,-3,0,0,0,-1,0,-2,0,-2,2
304,55 años o más,Universitario COMPLETO,Mujer,Ramos Mejía,-3,-3,-3,2,2,1,1,0,2,2,3,3,0,0,-3,2
305,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,La Tablada,1,-1,-1,-3,1,0,-1,0,0,0,-3,-3,1,0,1,1
306,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Ramos Mejía,-3,-3,-3,-2,2,1,-1,0,0,0,-2,-1,0,0,-3,2
307,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,-3,-3,-3,3,3,1,1,0,0,0,3,1,0,0,-3,2
308,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,La Tablada,3,3,-3,-2,-1,-1,2,0,0,-2,-2,0,0,2,2,1
309,55 años o más,Terciario COMPLETO,Hombre,González Catán,-2,-2,-3,-1,2,1,-1,0,2,2,3,2,-1,0,-3,2
310,Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Virrey del Pino,2,1,-1,-2,1,1,-1,0,0,0,-2,2,-1,0,-1,1
311,Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Laferrere,-2,-2,-2,-2,-2,2,1,0,0,0,-2,0,0,0,-2,2
312,55 años o más,Terciario INCOMPLETO,Mujer,Isidro Casanova,3,3,-1,-1,2,2,-1,0,-1,0,1,0,-1,0,1,1
313,Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,Virrey del Pino,3,3,-2,-3,-2,0,-2,0,0,0,-3,-1,-1,0,-1,1
314,Entre 35 y 54 años,Primaria COMPLETA,Mujer,Isidro Casanova,-1,3,1,-3,-3,-1,-3,0,-2,-2,-3,0,-3,0,-1,1
315,Entre 25 y 34 años,Universitario COMPLETO,Mujer,Villa Celina,1,1,0,-1,-1,0,0,0,0,0,-2,0,0,0,0,1
316,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Lomas del Mirador,-3,-3,-3,-2,1,1,1,0,0,0,1,2,0,0,-3,2
317,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Rafael Castillo,3,3,1,-3,2,-1,1,0,0,0,-3,1,1,-1,1,1
318,Entre 35 y 54 años,Primaria COMPLETA,Mujer,Rafael Castillo,3,3,2,0,-2,0,0,0,0,0,-3,0,0,0,2,1
319,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ramos Mejía,-2,-3,-1,-3,-3,0,0,0,1,0,0,0,0,0,1,2
320,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,La Tablada,2,1,-3,-3,2,2,-3,0,0,0,-3,-2,0,0,-1,1
321,Entre 35 y 54 años,Terciario INCOMPLETO,Hombre,Laferrere,-3,-3,-3,-2,2,2,2,0,-1,-2,-2,-3,-3,-3,-3,2
322,55 años o más,Universitario COMPLETO,Mujer,Ramos Mejía,1,-1,0,-2,-1,-1,2,0,0,0,-2,0,-3,0,1,1
323,55 años o más,Universitario COMPLETO,Hombre,Villa Luzuriaga,1,3,1,-3,-3,-2,-3,0,-2,-2,-3,0,0,0,2,1
324,Entre 35 y 54 años,Posgrado y más,Hombre,Ramos Mejía,-1,-3,-2,-2,-2,2,3,0,1,2,-2,1,-1,0,-2,2
325,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Ciudad Evita,1,1,1,-3,-3,-1,-3,0,0,-2,-3,0,-2,0,1,1
326,Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ciudad Evita,-3,-3,-3,-2,-2,2,-3,0,3,1,2,3,-2,0,-2,2
327,Entre 35 y 54 años,Primaria COMPLETA,Hombre,Isidro Casanova,-1,-2,-2,-3,-1,1,-1,0,-2,1,-2,1,-1,0,1,1
328,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,San Justo,-3,-3,-2,1,2,2,2,0,-1,1,1,0,-1,0,-3,2
329,55 años o más,Posgrado y más,Mujer,San Justo,-3,-3,-3,3,2,2,-3,0,3,3,1,3,1,0,-3,2
330,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Isidro Casanova,1,2,-3,-3,1,0,-1,0,0,0,-3,1,-1,0,-3,1
331,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Laferrere,1,-1,-1,-1,-1,0,-1,0,0,0,-2,0,1,0,1,1
332,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Villa Luzuriaga,-3,-3,-3,-3,-1,3,2,0,0,0,-3,0,0,0,-2,2
333,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Villa Celina,1,-1,-3,1,2,0,-1,0,0,0,0,0,0,0,1,2
334,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,2,2,1,-3,-3,0,0,0,0,0,0,0,0,0,0,1
335,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Virrey del Pino,1,1,-1,-2,0,0,0,0,0,0,0,0,0,0,-2,1
336,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Villa Luzuriaga,2,2,-1,-3,0,0,0,0,0,0,-3,0,2,0,1,1
337,Entre 35 y 54 años,Primaria COMPLETA,Hombre,González Catán,-3,-3,-2,1,2,3,3,0,0,0,3,0,2,0,-1,2
338,55 años o más,Secundaria INCOMPLETA,Mujer,La Tablada,2,1,-2,-2,0,0,0,0,0,0,-1,0,0,0,2,1
339,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Laferrere,-1,1,-1,-3,-1,-1,-2,0,0,-1,-2,0,-1,0,-1,1
340,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Virrey del Pino,-3,-3,-3,-1,-2,-1,3,0,2,-1,1,-1,-2,-3,-3,2
341,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,-3,2,-3,-3,2,2,2,0,-3,0,-3,0,0,0,-3,2
342,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,-1,-3,-3,1,0,0,-2,0,0,0,2,0,0,0,-2,2
343,55 años o más,Universitario COMPLETO,Hombre,González Catán,-3,-3,-2,-3,-1,-1,1,0,-2,-2,-2,-2,-2,0,1,1
344,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,San Justo,-2,-2,-3,-3,-3,-2,-3,0,0,-1,-3,0,0,-2,-3,1
345,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Isidro Casanova,1,-2,-1,-1,1,2,1,0,2,1,1,1,1,1,-1,2
346,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Rafael Castillo,-1,1,-1,-3,-3,0,2,0,0,-1,-2,-1,-1,0,1,1
347,Entre 35 y 54 años,Universitario COMPLETO,Hombre,Ramos Mejía,-2,-3,-3,2,3,2,1,0,3,0,3,2,1,0,-1,2
348,Entre 16 y 24 años,Secundaria INCOMPLETA,Hombre,González Catán,-1,1,-3,-3,1,0,3,0,0,0,0,0,0,0,0,2
349,55 años o más,Primaria COMPLETA,Mujer,González Catán,3,3,2,-3,-3,-3,-3,0,0,0,-3,0,-3,-3,3,1
350,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,González Catán,2,1,-1,-2,-1,2,2,0,0,0,2,0,-1,0,1,2
351,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Rafael Castillo,-3,-3,-2,-3,-3,0,-1,0,0,0,-3,0,0,-1,2,1
352,55 años o más,Terciario COMPLETO,Mujer,Ciudad Evita,-2,-3,-2,-3,-3,1,-2,0,0,-2,-3,0,-2,0,-2,1
353,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Villa Luzuriaga,-1,3,2,-3,-3,0,-3,0,0,1,-3,2,2,2,2,1
354,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,La Tablada,-1,3,2,-3,-3,0,0,0,0,0,-3,0,0,0,-2,1
355,Entre 16 y 24 años,Terciario INCOMPLETO,Mujer,González Catán,3,3,1,-3,-2,0,0,0,0,0,-2,0,2,0,-2,1
356,Entre 35 y 54 años,Universitario COMPLETO,Mujer,Villa Luzuriaga,-2,-3,1,3,3,2,1,0,0,0,2,0,1,0,-1,2
357,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Lomas del Mirador,-2,-3,-3,-2,1,1,1,0,0,0,1,0,0,0,-2,2
358,Entre 16 y 24 años,Secundaria INCOMPLETA,Mujer,González Catán,1,1,2,-2,1,0,-2,0,0,0,-3,0,0,0,1,1
359,55 años o más,Terciario COMPLETO,Hombre,San Justo,2,3,1,-3,-3,-2,-3,0,-2,0,-3,-2,-2,0,1,1
360,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Villa Luzuriaga,1,1,-3,-3,-3,0,-3,0,-2,0,-3,0,-3,0,-3,1
361,Entre 35 y 54 años,Primaria COMPLETA,Mujer,Isidro Casanova,-2,-2,-2,-3,0,1,0,0,0,0,1,0,0,0,0,2
362,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Villa Madero,1,1,-1,-3,-3,0,-3,0,0,0,-3,0,0,0,0,1
363,55 años o más,Terciario COMPLETO,Hombre,Villa Luzuriaga,-2,-3,-2,-1,2,1,1,0,-2,2,2,2,0,0,-3,2
364,Entre 25 y 34 años,Terciario INCOMPLETO,Mujer,Laferrere,1,-2,1,-2,-2,0,-1,0,0,0,-1,0,0,0,1,1
365,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Isidro Casanova,-3,-3,-3,2,3,3,3,0,3,2,-2,3,-3,-3,-3,2
366,Entre 25 y 34 años,Universitario INCOMPLETO,Hombre,González Catán,-3,-3,-1,-3,-1,2,-1,0,0,0,-2,0,0,0,-2,2
367,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Laferrere,-3,-3,-3,2,2,2,3,0,0,0,3,2,2,0,-3,2
368,Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Villa Luzuriaga,-1,-1,1,-1,0,0,1,0,0,0,0,0,0,0,-2,2
369,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,1,-2,1,-2,2,2,-1,0,0,0,2,1,2,0,-2,2
370,Entre 16 y 24 años,Secundaria COMPLETA,Hombre,Villa Luzuriaga,-2,-3,-1,1,2,-1,3,0,0,-1,-3,-3,0,-2,-3,2
371,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Ciudad Evita,2,1,1,-3,-2,-2,-3,0,0,0,-3,0,0,0,1,1
372,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,San Justo,-3,-3,-3,1,3,1,1,0,0,1,-2,-2,2,0,-1,2
373,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,La Tablada,1,1,-1,-2,2,0,-3,0,0,0,-3,0,0,0,1,1
374,Entre 35 y 54 años,Primaria COMPLETA,Mujer,Laferrere,-2,-3,-3,-2,3,3,-1,0,1,0,-2,0,-1,0,-3,2
375,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Laferrere,1,-3,-3,2,1,0,1,0,0,0,-3,0,-1,-1,-1,2
376,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,Villa Luzuriaga,2,3,2,-3,-3,-3,-3,0,-2,0,-3,-2,1,0,2,1
377,Entre 35 y 54 años,Terciario COMPLETO,Mujer,La Tablada,1,-3,-3,3,3,-1,2,0,-2,-2,1,0,-2,-2,-2,2
378,Entre 35 y 54 años,Primaria INCOMPLETA,Mujer,Ciudad Evita,1,3,-1,-2,-2,0,2,0,0,0,2,0,0,0,0,1
379,Entre 35 y 54 años,Terciario COMPLETO,Mujer,González Catán,2,1,-3,-3,-3,1,0,0,0,0,0,0,0,0,-3,1
380,Entre 35 y 54 años,Universitario COMPLETO,Mujer,Ciudad Evita,-3,-3,-3,-1,2,2,-1,0,2,0,-2,2,0,0,-3,2
381,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,3,3,-3,-3,-3,0,-3,0,0,-3,-3,0,0,0,2,1
382,Entre 25 y 34 años,Terciario COMPLETO,Mujer,Laferrere,-2,-3,-3,-2,-1,0,-2,0,0,0,-3,0,-1,0,-1,2
383,Entre 35 y 54 años,Universitario COMPLETO,Mujer,Ramos Mejía,-3,-2,-2,-1,1,1,-1,0,0,0,-1,0,0,0,-1,2
384,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Virrey del Pino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
385,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Isidro Casanova,-3,-3,-3,-1,1,-2,1,0,2,2,3,3,0,0,-3,2
386,55 años o más,Terciario COMPLETO,Mujer,Lomas del Mirador,-3,-3,-2,-1,2,2,-1,0,0,0,1,0,-1,0,-2,2
387,Entre 35 y 54 años,Terciario COMPLETO,Mujer,González Catán,-3,-1,-3,-3,-2,-2,-2,0,-3,2,-3,0,3,-2,-1,1
388,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,1,1,-1,-3,-1,0,1,0,0,0,-3,0,0,0,-1,1
389,55 años o más,Secundaria COMPLETA,Mujer,Ramos Mejía,-3,-3,-3,1,3,-1,1,0,0,0,1,0,0,0,-3,2
390,55 años o más,Terciario INCOMPLETO,Hombre,Aldo Bonzi,-3,-3,-3,-3,2,1,-3,0,1,-2,1,1,-2,0,-3,2
391,Entre 35 y 54 años,Posgrado y más,Mujer,Ciudad Evita,1,-2,-2,-3,-2,-1,-1,0,-1,0,-2,0,0,0,1,1
392,Entre 35 y 54 años,Primaria COMPLETA,Mujer,Laferrere,-1,-2,-3,-1,2,0,0,0,0,0,1,0,0,0,-1,2
393,55 años o más,Secundaria INCOMPLETA,Mujer,San Justo,2,1,-3,-3,1,1,-2,0,0,0,-3,0,1,0,1,1
394,55 años o más,Universitario COMPLETO,Hombre,Villa Luzuriaga,-3,-3,-3,-3,3,3,2,0,1,0,3,-2,0,0,-2,2
395,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,-3,-3,-2,2,2,-2,1,0,0,0,3,0,0,0,-2,2
396,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,2,2,1,-3,1,0,-3,0,0,0,-3,0,0,0,-2,1
397,55 años o más,Terciario COMPLETO,Hombre,Ramos Mejía,-3,-3,-3,1,2,1,-2,0,3,2,1,2,0,0,-3,2
398,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Ciudad Evita,-3,-3,-3,1,3,2,-2,0,2,2,1,0,1,0,-3,2
399,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Laferrere,3,2,1,-3,-3,-1,-3,0,0,1,-3,-2,-2,-2,-1,1
400,55 años o más,Primaria COMPLETA,Mujer,Laferrere,-1,-2,2,-3,-3,-3,-3,0,0,0,-3,0,0,0,0,1
401,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Laferrere,2,2,1,-3,0,0,-1,0,0,0,0,0,0,0,1,1
402,Entre 35 y 54 años,Primaria COMPLETA,Hombre,Rafael Castillo,2,3,2,-3,-3,-2,-3,0,-2,0,-3,1,-2,1,2,1
403,Entre 25 y 34 años,Terciario COMPLETO,Mujer,Isidro Casanova,-3,-3,-3,1,3,0,0,0,0,0,0,0,0,0,-3,2
404,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,-1,2,-2,-2,2,2,1,0,1,0,-3,0,0,0,-2,2
405,Entre 16 y 24 años,Secundaria COMPLETA,Mujer,Laferrere,3,3,1,-3,1,1,2,0,2,2,-1,2,0,0,1,1
406,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,1,2,1,-3,-3,-3,-3,0,0,0,-3,-3,0,0,-1,1
407,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Villa Madero,-3,-3,-3,-2,3,2,1,0,-2,0,-1,1,-1,-1,-3,2
408,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Villa Luzuriaga,-1,-2,-3,-1,1,2,-3,0,0,-1,-1,0,0,0,-1,2
409,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,San Justo,-3,-3,-3,1,-3,2,3,0,-1,2,1,2,0,0,-3,2
410,Entre 35 y 54 años,Primaria COMPLETA,Hombre,Laferrere,-1,-3,-3,-3,-1,0,0,0,0,0,-3,0,0,0,-3,2
411,55 años o más,Universitario COMPLETO,Mujer,Villa Luzuriaga,-2,-3,-2,1,1,3,1,0,-2,0,2,0,0,-2,-2,2
412,55 años o más,Universitario INCOMPLETO,Hombre,Ciudad Evita,2,3,1,-3,-3,2,-3,0,0,-3,-3,0,-2,0,3,1
413,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,1,3,-1,-3,-2,-2,-2,0,1,-3,-3,-1,0,0,1,1
414,Entre 25 y 34 años,Universitario COMPLETO,Hombre,Ramos Mejía,1,3,1,-3,-3,-3,-3,0,-3,-3,-3,-3,-1,0,3,1
415,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,González Catán,-3,-3,-3,2,2,2,2,0,-1,-2,1,-1,1,0,-2,2
416,Entre 25 y 34 años,Universitario INCOMPLETO,Hombre,Ramos Mejía,1,2,1,-2,-2,-2,-3,0,0,0,-3,0,0,0,1,1
417,Entre 25 y 34 años,Terciario COMPLETO,Hombre,González Catán,1,3,-1,-3,-3,-3,-3,0,-3,-3,-3,-3,0,0,1,1
418,55 años o más,Terciario COMPLETO,Mujer,Ramos Mejía,-1,1,-1,-3,-3,-3,-3,0,-3,-3,-3,-3,0,0,1,1
419,55 años o más,Secundaria INCOMPLETA,Mujer,La Tablada,1,2,1,1,1,1,1,0,0,0,2,0,2,0,1,2
420,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Lomas del Mirador,-2,3,-3,-3,-3,-3,-3,0,0,0,0,0,0,0,-2,1
421,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,-3,-3,-3,0,-3,0,2,0,0,0,0,0,0,0,0,2
422,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Isidro Casanova,1,-1,-1,-1,1,0,0,0,0,0,1,-1,0,0,-1,2
423,Entre 35 y 54 años,Posgrado y más,Hombre,Isidro Casanova,1,2,-1,-3,-3,-1,-3,0,-1,-3,-3,-3,-2,0,1,1
424,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Laferrere,-3,-3,-3,1,3,0,3,0,0,0,1,-3,1,0,-1,2
425,Entre 25 y 34 años,Secundaria INCOMPLETA,Mujer,La Tablada,-1,-3,-1,-1,1,0,-1,0,0,1,-1,-1,1,0,1,2
426,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,1,1,1,1,1,1,0,0,0,0,-2,0,1,0,1,2
427,Entre 25 y 34 años,Universitario INCOMPLETO,Hombre,Isidro Casanova,-3,-3,-3,-3,-3,-2,-2,0,-2,0,-3,0,0,0,-2,1
428,Entre 16 y 24 años,Universitario INCOMPLETO,Mujer,Villa Madero,1,2,-3,-3,-3,-2,-3,0,0,-2,-3,0,-1,0,-1,1
429,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Villa Luzuriaga,2,2,1,-3,-2,0,-3,0,0,0,-3,1,0,0,-2,1
430,Entre 35 y 54 años,Universitario COMPLETO,Mujer,Lomas del Mirador,2,-2,-2,-3,2,0,0,0,0,-2,-2,0,1,0,1,1
431,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Villa Madero,-3,-3,-2,-2,2,2,-3,0,0,0,-3,-2,2,0,-3,2
432,Entre 25 y 34 años,Secundaria COMPLETA,Hombre,Lomas del Mirador,-1,1,1,-1,-1,-1,0,0,0,0,-2,1,0,0,-3,1
433,Entre 35 y 54 años,Primaria COMPLETA,Mujer,Laferrere,3,3,1,-3,1,1,0,0,3,1,2,1,2,0,2,2
434,55 años o más,Secundaria COMPLETA,Mujer,Lomas del Mirador,-3,-3,-3,2,-3,-3,3,0,0,0,3,0,0,-2,-3,2
435,55 años o más,Terciario COMPLETO,Hombre,San Justo,-2,-3,-3,1,3,3,-2,0,1,2,-2,1,-1,-2,-2,2
436,55 años o más,Terciario COMPLETO,Mujer,Ciudad Evita,-3,-3,-3,3,1,1,-3,0,3,3,3,3,1,0,-3,2
437,Entre 35 y 54 años,Terciario INCOMPLETO,Mujer,San Justo,1,3,1,-3,-3,-3,-3,0,0,0,-3,-3,0,-3,1,1
438,Entre 35 y 54 años,Universitario INCOMPLETO,Mujer,Ramos Mejía,-1,-2,-2,-2,1,2,-2,0,-2,0,-2,1,0,0,-1,2
439,55 años o más,Secundaria INCOMPLETA,Mujer,20 de Junio,-2,3,2,-3,2,0,-1,0,0,0,-3,0,0,0,2,1
440,Entre 35 y 54 años,Secundaria INCOMPLETA,Hombre,Ciudad Evita,1,2,1,-3,1,0,-1,0,0,0,-2,0,0,0,1,1
441,55 años o más,Secundaria COMPLETA,Hombre,Lomas del Mirador,-3,-3,-3,1,1,3,2,0,2,1,2,2,0,0,-2,2
442,Entre 25 y 34 años,Universitario INCOMPLETO,Mujer,Lomas del Mirador,-1,-3,-3,-1,1,0,-1,0,0,0,-3,0,0,0,-3,2
443,Entre 35 y 54 años,Secundaria COMPLETA,Hombre,Lomas del Mirador,-1,-3,-3,-3,-3,-1,-1,0,-1,-2,-1,0,0,0,-1,1
444,Entre 25 y 34 años,Terciario COMPLETO,Mujer,Villa Madero,-3,-3,-3,-3,-1,-3,-3,0,0,-1,-1,0,-1,0,-3,1
445,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,-2,1,-3,-3,-3,0,-2,0,0,0,-3,0,1,0,-2,1
446,Entre 25 y 34 años,Secundaria COMPLETA,Mujer,Virrey del Pino,1,3,-1,-2,-2,0,1,0,0,0,-2,0,0,0,1,1
447,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Rafael Castillo,1,3,-1,-2,1,-1,-1,0,0,0,-2,-1,0,0,-2,1
448,Entre 35 y 54 años,Universitario INCOMPLETO,Hombre,Lomas del Mirador,-3,-3,-3,2,3,-1,-2,0,2,2,2,3,-2,0,-3,2
449,Entre 35 y 54 años,Terciario COMPLETO,Mujer,San Justo,-2,-3,-3,-2,-1,2,-2,0,-1,-2,-1,1,1,0,-2,2
450,Entre 35 y 54 años,Terciario COMPLETO,Mujer,Villa Luzuriaga,1,-2,-1,-2,-1,0,-1,0,-1,0,-2,0,0,0,1,1
451,Entre 25 y 34 años,Terciario COMPLETO,Mujer,González Catán,3,3,3,-1,0,0,0,0,0,0,-1,2,2,0,2,1
452,55 años o más,Terciario COMPLETO,Mujer,Aldo Bonzi,-2,-3,-3,-2,3,2,-3,0,0,0,-3,0,0,0,-3,2
453,Entre 35 y 54 años,Secundaria INCOMPLETA,Mujer,Isidro Casanova,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,-3,2
454,Entre 35 y 54 años,Terciario COMPLETO,Mujer,San Justo,-2,-1,2,2,2,3,3,0,0,1,3,2,1,-1,-2,2
455,Entre 35 y 54 años,Secundaria COMPLETA,Mujer,Villa Luzuriaga,2,-1,1,-2,-2,0,-2,0,0,-2,-2,0,0,0,-2,1
456,Entre 25 y 34 años,Universitario COMPLETO,Mujer,González Catán,1,2,-3,-3,-3,-1,-3,0,-3,1,-3,1,-2,-2,-3,1
